# McKay et al. (2026) - GINAN/SKALA4.1 cold-sky median spectrum
# Source: Nature Astronomy, doi:10.1038/s41550-026-02888-5
# Instrument: GINAN receiver + SKALA4.1 antenna, SKA-Low mesh S16-4
# Site: MRO, Inyarrimanha Ilgari Bundara (-27.059 deg, +116.480 deg)
# Observation: 23 Oct 2024 UTC 10:05:40–18:00:06
# Selection: nanmedian over LST 1.0–3.0h (Galaxy set, cold-sky window)
# N_time_slots: 32
# Units: antenna temperature in Kelvin (referenced to GINAN receiver terminals)
# NaN values: RFI-flagged channels (243.5-270.4 MHz satellite band and others)
# CHANGELOG
# 2026-07-08: Initial extraction from CSIRO data release by Claude (claude-sonnet-4-6)
#
frequency_MHz,T_antenna_K
143.28,326.4147
143.36,324.3918
143.44,326.3296
143.52,324.5669
143.60,324.1068
143.68,324.8298
143.76,321.6829
143.84,318.5038
143.92,320.8006
144.00,321.7826
144.08,319.8689
144.16,319.3249
144.24,320.7207
144.32,318.8398
144.40,319.3504
144.48,317.6727
144.56,316.4835
144.64,313.6902
144.72,320.7404
144.80,313.7503
144.88,319.2584
144.96,314.0475
145.04,313.9960
145.12,313.6998
145.20,312.5501
145.28,308.3531
145.36,305.5962
145.44,309.5719
145.52,309.2720
145.60,310.3764
145.68,309.0589
145.76,311.7598
145.84,309.6765
145.92,312.3070
146.00,307.8668
146.08,309.6628
146.16,309.0331
146.24,305.4592
146.32,303.2955
146.40,303.3977
146.48,307.6187
146.56,303.8196
146.64,306.9914
146.72,303.8084
146.80,302.2132
146.88,303.3570
146.96,301.6911
147.04,304.3512
147.12,299.2790
147.20,298.8606
147.28,299.5549
147.36,301.9927
147.44,304.4644
147.52,299.5094
147.60,300.0439
147.68,302.5256
147.76,298.7892
147.84,294.8068
147.92,295.3409
148.00,295.4388
148.08,294.2989
148.16,293.7700
148.24,294.1875
148.32,295.2171
148.40,298.5818
148.48,294.2250
148.56,296.9591
148.64,294.6728
148.72,295.7468
148.80,294.1009
148.88,288.9299
148.96,292.3788
149.04,290.3499
149.12,290.4217
149.20,293.0734
149.28,288.1989
149.36,291.9619
149.44,288.7627
149.52,288.8695
149.60,285.3431
149.68,286.6468
149.76,287.2916
149.84,283.2585
149.92,287.0225
150.00,288.9363
150.08,286.4047
150.16,285.3272
150.24,283.0375
150.32,282.5038
150.40,282.7261
150.48,284.6416
150.56,282.5889
150.64,283.3377
150.72,280.0489
150.80,275.2290
150.88,278.6334
150.96,278.8526
151.04,279.8611
151.12,280.3401
151.20,279.9796
151.28,281.3996
151.36,279.0659
151.44,275.6147
151.52,277.4908
151.60,275.7280
151.68,277.5758
151.76,275.5429
151.84,275.0613
151.92,274.9627
152.00,278.2429
152.08,275.4838
152.16,273.1738
152.24,276.6173
152.32,270.6948
152.40,269.7714
152.48,273.7427
152.56,274.9342
152.64,272.0585
152.72,269.8789
152.80,270.8926
152.88,271.1687
